package_name,item,type,size,brand,design_front,design_back,print_file_node
RJ-55592-23622-F1,5071404_1,B_BALL_JACKET_19,2XL,AN,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/68400baf6581cb594f5ed65c/25/06/b9xkoch7f3.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765448880&Signature=CE09vN%2FeP2u2vZWhX%2Bhej%2FYTgYo%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/a962c843/5071404_1.tif
RJ-56995-76672-F1,5182880_2,B_BALL_JACKET_19,3XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/68888e2e8fa3d547d181f081/25/07/8cskpmhfc7.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765445879&Signature=L48PBq%2BDaaNoY6TW0oNarH4Xx5E%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/2f01154e/5182880_2.tif
RQ-34634-62949-F1,5161708_1,B_BALL_JACKET_19,L,ANIME 3,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/670a65f197f0454b127dac7f/24/10/5435ed07fbd741cd80157eb7ea6a1987-back.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446501&Signature=bGfkL6si8cuiGjE4Oz99JpHy0No%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/3e309f99/5161708_1.tif
RY-63233-65395-F1,5156929_1,B_BALL_JACKET_19,L,AN,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/68776ab443ac2772ef964a2c/25/07/imc9vmazbm.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446737&Signature=AXeC6xV%2ByJAg5erbaZV6oQWaR%2FI%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/61cfcb27/5156929_1.tif
RP-34682-56399-F1,5226921_1,B_BALL_JACKET_19,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/won6y9u/artworks/68a54732a0d2892b46287823/order-items/68a54734a0d2891bac287880/25/08/uqta91p0yu.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444563&Signature=wAQQ%2B%2Folnyb%2Bps9QDumPq0ZzKfM%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/3247aa7a/5226921_1.tif
RX-23744-34483-F1,5103253_1,B_BALL_JACKET_19,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/68528959cecf45b30d403483/25/06/uqirbhgqpj.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446270&Signature=Vc%2BQn2YikB8zGE4NpM3eOdlfT5A%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/f59769e7/5103253_1.tif
RV-95323-68828-F1,5112760_1,B_BALL_JACKET_19,XL,ANIME 3,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/6741708e4e4c51929e864fb5/25/01/663ee457f90d4d3c93d51d4b99f8d688-back.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447393&Signature=nXx5hXaaVVSTsz9%2FhRajP%2BpS59I%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/16518cb4/5112760_1.tif
RE-87849-84736-F1,5137737_1,BASEBALL_CAP_13,One size,,https://merchize-artworks.s3.us-west-1.amazonaws.com/xd9rlit/artworks/68368ff3e3d24db8b0939958/order-items/68678276d03df937ab1fb800/25/07/t7rdtiosvzj.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447263&Signature=79IJyuWMdpIlDrq8Ro%2BMf1J1NQ4%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/c3e8e9c4/5137737_1.tif
RG-32935-94973-F1,5037657_1,BASEBALL_CAP_13,One size,,https://merchize-artworks.s3.us-west-1.amazonaws.com/h4f8dlz/artworks/682d55883728a1dae901e270/25/05/4d68dnx5o2.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449304&Signature=gwF6SBAk%2B3mAaL%2FdpYruOopDdCA%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/aa3b26f7/5037657_1.tif
RV-62848-69849-F1,5218753_1,CLOAK_18,M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/636b6c7c60332ba80da357a4/22/11/1667987727718-c23e4e5c-6b40-42ef-a0b6-a77ff1e1136a.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765445116&Signature=%2B7mQIAKKf%2F46Q8%2F87z%2FaGDXae%2F8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/03659cb2/5218753_1.tif
RJ-45422-24763-F1,5166046_1,DOORMAT_30,15x25,,https://merchize-artworks.s3.us-west-1.amazonaws.com/ceqfgr8/artworks/687e0b63e43554de058bc201/25/07/1ifvh18p6j.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446779&Signature=j4%2F2mBYOlgKFE2G%2BTsYa6LFhrt8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/d25da27c/5166046_1.tif
RN-65594-23975-F1,5140112_1,DOUB_SPO_SHO_17,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/67280faf055379f6722f8f15/24/11/1730727054012-964fce58-4720-4dd3-88a8-8c44ceb3aa6d.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447015&Signature=8OS8z1s%2FpnO0WZ8eeigIly%2BwvGg%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/e61c0825/5140112_1.tif
RP-34965-37345-F1,5169327_1,F_BALL_JERS_17,L,,https://merchize-artworks.s3.us-west-1.amazonaws.com/kugu3lc/artworks/687f5df05421dfecac563461/order-items/687f5df45421df1c8c5635f5/25/07/58gftokdj4w.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446694&Signature=MOT71bca5drMEjTEBM%2FJGS%2BwFlU%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/2ff875d0/5169327_1.tif
RG-66334-82388-F1,5146187_1,F_BALL_JERS_17,M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/5iz9q56/artworks/683fb9e42c07958cb035620c/order-items/686f7fdf643afa48f1b11881/25/07/obx6ni029eb.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1764322987&Signature=%2FZ%2FRGjVXebaIxeRPNWOwSFUOXPM%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/c12235ab/5146187_1.tif
RE-88556-94544-F1,5242329_1,F_BALL_JERS_17,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/92pzik2/artworks/68afbc182bfd2d21c942af84/25/08/vmeb0n1ihu.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444199&Signature=Jfs8xRYEqBjYoRUE3mXu0D0H5m0%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/59f0c9db/5242329_1.tif
RG-35262-75697-F1,5093142_2,F_BALL_JERS_17,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/won6y9u/artworks/684bb87f375b50ee01aeced5/25/06/6658pzsxjl.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765448551&Signature=EXG3rx7PatgXdnnVujKzVS3GFPc%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/d8182cd5/5093142_2.tif
RY-34323-43894-F1,5167191_1,GRADUA_STOLE_03,5x78 in - Pointed,,https://merchize-artworks.s3.us-west-1.amazonaws.com/80e9xlr/artworks/687e0ca28833e2a10c612c35/25/07/se10wycw27.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446662&Signature=EkOnURReCwC3WBfmX2%2B7txXF84g%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/fb1dfcb6/5167191_1.tif
RZ-62438-65896-F1,5230493_1,HAWAII_33,2XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/o6ah6j6/artworks/68a7c4358f35e62318a2dc05/order-items/68a7c4368f35e61c40a2dc64/25/08/sd11xqd9sm.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444816&Signature=yMczdL30KXCiyZfg%2FITgxRGKSzg%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/9ed2158e/5230493_1.tif
RG-47234-78927-F1,4940371_1,HAWAII_CT_34,L,HYPER,https://merchize-artworks.s3.us-west-1.amazonaws.com/f4orzh8/artworks/67ea58d888be47e6927272ae/order-items/67f2eb48a13da2e83669835e/25/04/6dj8rhdpy55.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449370&Signature=k%2BDS%2Fkcq9cJA89KadxM50r2jr5s%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/7adad433/4940371_1.tif
RN-82873-43489-F1,5217080_1,HD_18,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/e34qw75/artworks/67d133ef2f0184d0fa4f1823/25/03/v6wp4tnh5z.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444141&Signature=1ITXeTgNAp%2Bm%2FotJzRKAhm%2B7sPs%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/b27ec1a3/5217080_1.tif
RG-79272-56698-F1,5234786_1,HD_18,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/e34qw75/artworks/684d1c2bb0b47a98fed83491/25/06/2icx765ges.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444309&Signature=mjZHT2xJh13DkwnjKwOArmmSb1U%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/33bada5e/5234786_1.tif
RY-57256-36775-F1,5241185_3,JERS_04,5XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/5mwlab0/artworks/68aeaf119cc37a81f04bb9e4/order-items/68aeaf1a9cc37a694c4bbb61/25/08/e3xy5aipfa.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765443838&Signature=hq3vxyT%2BAWugmlsRDD%2BQYCxqy50%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/3cba4fee/5241185_3.tif
RN-92378-66859-F1,5120068_1,JERS_04,L,,https://merchize-artworks.s3.us-west-1.amazonaws.com/tg4a8b0/artworks/685500bf9d3ec31d8714ab14/attributes/25/06/8cde64aa2df14caa87912ca4106d9021-7c455b43-7beb-4b63-b95c-5c3a7af70e31.png.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447229&Signature=R6QTWQatKQUo%2BsxwDTETzTRA1OQ%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/d48361a7/5120068_1.tif
RY-48332-92848-F1,5232578_1,JERS_04,M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/om22zx1/artworks/68a473daf5c95b0eb7c369b4/order-items/68a473dcf5c95b2bc3c369d2/25/08/qssac18y17i.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444467&Signature=Pf7%2BZ2mYlKyQmdHxaw0qTOsma7E%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/510109d5/5232578_1.tif
RD-72382-39244-F1,5181297_1,JERS_04,M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/bfryl6g/artworks/6887655c3755f20c5ce88b2c/25/07/36nc61jjea.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446392&Signature=iVFbPhnE0ajVTJjnwiPB3CxsOMk%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/e1a9c594/5181297_1.tif
RG-29632-77394-F1,5217453_1,JERS_04,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/x2taavo/artworks/68995d12b6624a1c5cb9d0fd/order-items/68995d13b6624a46f2b9d13c/25/08/ztx943em68o.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765445471&Signature=1gXO9qGvcmhbTBD5CMSnARYXIhc%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/5c7726cc/5217453_1.tif
RQ-92728-92627-F1,5054000_2,JERS_04,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/6836d192454a88f13ce60d8a/25/05/iubeg8qikg.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449217&Signature=R8NzUEum6nfRlmVb3N05v%2FXIIlI%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/f0b7c51f/5054000_2.tif
RJ-87283-97434-F1,5205050_3,JERS_04,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/qejw754/artworks/6896df308cd04e8f4450348f/25/08/h1977vfo33.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446163&Signature=448ajiMDWoHYb3GMCuVPQ%2FGqbUw%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/8bd06e12/5205050_3.tif
RE-45552-32353-F1,5192870_1,JERS_04,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/qpc7b8e/artworks/68901fb348557c0b49c920a4/25/08/1754275764931-7381262f-1f8f-4923-955c-0538ce248793.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765446234&Signature=NjP3pnepPYwg9SQ6gGlxABd8qQI%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/7e9378e7/5192870_1.tif
RR-83476-45833-F1,5124948_1,JERS_04,XL,AMAZING,https://merchize-artworks.s3.us-west-1.amazonaws.com/0687dnt/artworks/6862414eb3271b3fbe8c8708/25/06/c7goh40ykl.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447432&Signature=02gg8iX%2BskU8Ae%2FkRspb4z8Czb8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/c92a60de/5124948_1.tif
RZ-67378-89739-F1,5059805_2,JERS_04,XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/3zswxe2/artworks/6838b6f3c81b4b5bb8705ae0/order-items/6838b6f7c81b4b8ba7705b13/25/05/ojdbceyye2.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449000&Signature=%2BbZ9sKd6yHc7c9aU6Y6%2Fsk%2Be7SY%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/a1d84d8e/5059805_2.tif
RY-55776-93955-F1,5003084_1,JERS_SHORTS_17,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/dyfeenf/artworks/6819522fc5703528fc073adf/25/05/1746513015962-6da10706-c1ae-4b79-98e5-7fb295048bbf.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449614&Signature=qRVk80KU2gasqZF%2Bn%2F%2FS5F41kF8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/aace145f/5003084_1.tif
RA-46373-78556-F1,4987498_1,JERS_TANK_17,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/967mp52/artworks/68137a9f2a50855fede38eb8/25/05/angb8oouzn.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449432&Signature=FRf%2BslsLsfirHtTNWLER%2BIWq6Jo%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/1b98a92a/4987498_1.tif
RM-75929-43643-F1,5244624_1,JERS_V2_04,L,,https://merchize-artworks.s3.us-west-1.amazonaws.com/gunluv3/artworks/68afafc302bb6b2724436dfd/order-items/68afafc402bb6bf79d436e17/25/08/779366025cfe4eb4ac3b36837e5e80d2-front.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765444064&Signature=5%2BfKczgtF3PGE43zuPgzpMPhhFg%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/c920c016/5244624_1.tif
RR-74632-99964-F1,5034627_1,JERS_V2_04,L,,https://merchize-artworks.s3.us-west-1.amazonaws.com/snis4ad/artworks/64ab0dac87298dd2448082c2/order-items/682a444d6f0fcaf4ec36ea65/25/05/jr71ehjkydd.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449534&Signature=MpJaE6qZIwBlylw8cS9JXmlj5x8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/a37b4b0e/5034627_1.tif
RB-96237-99427-F1,5127250_1,JERS_V2_04,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/o6ah6j6/artworks/68637829031fc7831c4e99d5/25/07/g420p4yvyf.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447356&Signature=iaRG2opGhYYE5VMwqC9ubkBYDNY%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/3c7e9891/5127250_1.tif
RQ-29662-72384-F1,4989602_1,JERS_V2_04,S,,https://merchize-artworks.s3.us-west-1.amazonaws.com/qc3imt3/artworks/681447d5b6a5339c2d24fbef/25/05/3zthpmkj10.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449317&Signature=x4NRp5t4%2FgH28%2FhfOdc3%2B1w%2FWok%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/2d62c021/4989602_1.tif
RY-77658-45689-F1,5211792_1,JERS_V3_04,2XL,,https://merchize-artworks.s3.us-west-1.amazonaws.com/bbdh522/artworks/68520bc3ed2cc259c1c1aa05/order-items/689af3eb3c491f262f12e6ba/25/08/tjry6b827ki.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765445508&Signature=kuFtEQNfhMMjiCdhV3snk8X7KSs%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/80c10ba7/5211792_1.tif
RV-68428-55286-F1,5203268_6,JERS_V3_04,M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/9a49ncg/artworks/6895a09fc4efca4fbe277869/25/08/2sxglef9jw.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765445657&Signature=wPn4HyEI5CHk9NEeDl2sy7KxQAc%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/e3b3894b/5203268_6.tif
RW-32475-56669-F1,5134725_1,KID_YO_JERS_04,12M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/qejw754/artworks/6867b8260980e4fa2b5ef72f/25/07/rnvzzs7kul.png?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447149&Signature=3G0Q8%2F6hKjVCMP1Z1m%2FtFOlS0wU%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/2bb8c4f3/5134725_1.tif
RN-46425-58924-F1,5130350_1,KID_YO_JERS_04,2T,,https://merchize-artworks.s3.us-west-1.amazonaws.com/bfryl6g/artworks/6864a4a24c9e7e214cd6b1a2/25/07/76rptlf1zk.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765447327&Signature=lQikfCL898dVHQVneDAZkHJaeP8%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/9c0ebc56/5130350_1.tif
RZ-65693-29333-F1,5043151_1,KID_YO_JERS_04,3T,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/68303a5e892fb4b2602d7161/25/05/aumhjwue8y.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449486&Signature=6wAMWH%2FdXDy9k3QUKsZOvJYf8Ow%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/507b0515/5043151_1.tif
RQ-92728-92627-F1,5054000_1,KID_YO_JERS_04,YM,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zoicy1l/artworks/6836d187454a88d9f1e60d6e/25/05/7vdgtze0c3.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765449217&Signature=xgCwZpm%2BtAuzM7b8mZIh%2F53yKKc%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/6d0696c6/5054000_1.tif
RP-32597-54433-F1,5097800_1,KID_YO_JERS_V2_04,12M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/zlk0ggs/artworks/684fdb2862b91b37cfa8d0ef/25/06/1to5gtu8lb.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765448299&Signature=NDb%2BXKpnyOEg1F2Ci2Ff0jwy7Yg%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/bdbfde80/5097800_1.tif
RA-58787-37892-F1,5089600_1,KID_YO_JERS_V2_04,12M,,https://merchize-artworks.s3.us-west-1.amazonaws.com/won6y9u/artworks/684a2e813c7bff8645cf1034/25/06/y99kt43kss.jpeg?AWSAccessKeyId=AKIAWYYRKM2QFT2QVQH3&Expires=1765448362&Signature=Dti3wXTbrh08OYG2hOlgIPcCM%2FM%3D,,https://d2g2orozxij1wh.cloudfront.net/13-09-25/e9e9cb48/5089600_1.tif
